,,2015,,,,,,2016,,,,,,,,,,,,2017,,,,,,,,,,,,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,
,,3-Jul,3-Aug,3-Sep,3-Oct,3-Nov,3-Dec,3-Jan,3-Feb,3-Mar,3-Apr,3-May,3-Jun,3-Jul,3-Aug,2-Sep,3-Oct,1-Nov,2-Dec,3-Jan,3-Feb,3-Mar,1-Apr,2-May,3-Jun,4-Jul,1-Aug,1-Sep,1-Oct,1-Nov,1-Dec,1-Jan,1-Feb,1-Mar,1-Apr,1-May,1-Jun,1-Jul,1-Aug,1-Sep,1-Oct,1-Nov,1-Dec,1-Jan,1-Feb,1-Mar,1-Apr,1-May,1-Jun,1-Jul,1-Aug,1-Sep,1-Oct,1-Nov,1-Dec,1-Jan,1-Feb,1-Mar,1-Apr,1-May,1-Jun,1-Jul,1-Aug,1-Sep,1-Oct,1-Nov,1-Dec,1-Jan,1-Feb,1-Mar,1-Apr,1-May,1-Jun,1-Jul,1-Aug,1-Sep,1-Oct,1-Nov,1-Dec,1-Jan,1-Feb,1-Mar,1-Apr,1-May,1-Jun,1-Jul,1-Aug,1-Sep,1-Oct,1-Nov,1-Dec,1-Jan,1-Feb,1-Mar,1-Apr,1-May,1-Jun,1-Jul,1-Aug,1-Sep,1-Oct,1-Nov,1-Dec,1-Jan,1-Feb,1-Mar,1-Apr,1-May,1-Jun
cash,kÇszpÇnz sz†ml†n KH HUF," 12,586,000    "," 10,830,950    "," 10,586,551    "," 10,197,000    "," 9,897,416    "," 9,704,327    "," 9,040,000    "," 8,298,440    "," 7,495,083    "," 6,974,727    "," 6,091,000    "," 3,317,000    "," 3,348,000    "," 1,500,000    "," 563,800    "," 563,800    "," 1,300,000    "," 792,778    "," 800,000    "," 523,000    "," 244,573    "," 202,256    "," 202,256    "," 179,871    "," 60,000    "," 180,000    "," 220,000    "," 79,000    "," 130,781    "," 348,000    "," 333,175    "," 626,600    "," 679,000    "," 679,000    "," 679,000    "," 748,000    "," 772,586    "," 953,944    "," 1,008,000    "," 1,011,732    "," 1,062,000    "," 1,105,000    "," 1,176,000    "," 1,176,000    "," 1,565,000    "," 1,858,000    "," 1,858,803    "," 2,080,000    "," 2,080,000    "," 2,102,223    "," 2,043,183    "," 2,072,336    "," 1,204,294    "," 1,230,000    "," 1,296,207    "," 699,304    "," 278,468    "," 278,468    "," 278,468    "," 347,500    "," 347,500    "," 426,340    "," 469,000    "," 486,922    "," 461,798    "," 492,892    "," 569,000    "," 569,000    "," 592,000    "," 648,370    "," 661,590    "," 738,000    "," 743,000    "," 743,000    "," 838,161    "," 803,481    "," 828,301    "," 1,255,775    "," 1,255,775    ","-14,142    "," 8,858    "," 8,859    "," 8,860    "," 55,900    "," 81,365    "," 105,524    "," 225,925    "," 592,881    ", -      ," 86,000    "," 111,000    "," 111,000    "," 147,690    "," 147,690    "," 147,690    "," 147,690    "," 147,690    "," 147,690    "," 147,690    "," 147,690    "," 147,690    ",,,,," 300,000    "," 300,000    "," 300,000    "
cash,kÇszpÇnz otthon USD," 44,000    "," 44,000    "," 44,000    "," 44,000    "," 44,000    "," 44,000    "," 44,000    "," 44,000    "," 44,000    "," 44,000    "," 44,000    "," 44,000    "," 44,000    "," 44,000    "," 44,000    "," 44,000    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 2,800    "," 5,002,800    "," 5,002,800    "," 5,002,800    "," 5,263,061    "," 5,550,000    "," 6,150,000    "," 6,195,000    "," 6,465,000    "," 5,800,000    "," 5,800,000    "," 5,800,000    "," 5,800,000    "," 5,075,000    "," 5,075,000    "," 5,075,000    "," 5,075,000    "," 5,075,000    "," 5,075,000    "," 5,075,000    "," 5,075,000    "," 5,075,000    "," 4,675,000    "," 4,675,000    "," 4,675,000    "," 4,675,000    "," 4,675,000    "," 4,675,000    "," 4,675,000    "
cash,kÇszpÇnz sz†ml†n MKB EUR," 200,000    "," 1,426,310    "," 13,149,378    "," 12,979,700    "," 12,979,700    "," 12,979,700    "," 13,230,920    "," 13,063,440    "," 13,062,192    "," 12,993,751    "," 12,993,751    "," 13,034,424    "," 13,201,216    "," 12,402,684    "," 12,167,190    "," 11,855,190    "," 11,931,192    "," 11,770,390    "," 11,770,390    "," 11,769,460    "," 11,769,150    "," 11,917,950    "," 1,058,650    "," 974,640    "," 974,020    "," 682,000    "," 548,080    "," 546,220    "," 545,600    "," 548,808    "," 139,810    "," 139,810    "," 136,710    "," 11,232    "," 661,540    "," 829,000    "," 863,525    "," 196,742    "," 521,316    "," 674,880    "," 844,668    "," 1,003,238    "," 1,157,205    "," 1,285,356    "," 1,432,840    "," 152,640    "," 314,594    "," 314,594    "," 476,102    "," 481,671    "," 651,090    "," 658,648    "," 658,648    "," 975,855    "," 667,627    "," 679,729    "," 679,729    "," 679,729    "," 706,300    "," 706,300    "," 706,300    "," 737,450    "," 737,450    "," 758,520    "," 936,000    "," 1,109,199    "," 1,280,485    "," 1,280,485    "," 1,280,485    "," 1,298,520    "," 1,298,520    "," 1,298,520    "," 1,298,520    "," 1,298,520    "," 1,298,520    "," 1,298,520    "," 1,298,520    "," 1,298,520    "," 1,298,520    "," 1,298,520    "," 1,298,520    "," 1,298,520    "," 1,298,520    "," 1,406,730    "," 44,294,800    "," 45,231,200    "," 49,936,500    "," 126,900    "," 3,177,500    "," 5,603,884    "," 342,400    "," 342,400    "," 281,996    "," 281,996    "," 281,996    "," 281,996    "," 281,996    "," 281,996    "," 281,996    "," 281,996    "," 281,996    "," 798,000    "," 798,000    "," 798,000    "," 798,000    "," 798,000    "," 798,000    "," 798,000    "
cash,kÇszpÇnz otthon HUF,," 100,000    "," 100,000    "," 100,000    "," 100,000    "," 60,000    "," 60,000    "," 100,000    "," 100,000    "," 150,000    "," 50,000    "," 50,000    "," 300,000    "," 90,000    "," 300,000    "," 220,000    "," 40,000    "," 100,000    "," 80,002    "," 80,002    "," 80,002    "," 80,002    "," 80,002    "," 80,002    "," 50,000    "," 100,000    "," 90,000    "," 100,000    "," 40,000    "," 100,000    "," 80,000    "," 170,000    "," 170,000    "," 100,000    "," 160,000    "," 100,000    "," 130,000    "," 220,000    "," 50,000    "," 120,000    "," 190,000    "," 120,000    "," 120,000    "," 1,020,000    "," 800,000    "," 100,000    "," 20,000    "," 20,000    "," 20,000    "," 140,000    "," 830,000    "," 600,000    "," 100,000    "," 50,000    "," 20,000    "," 20,000    "," 240,000    "," 240,000    "," 80,000    "," 150,000    "," 400,000    "," 150,000    "," 100,000    "," 30,000    "," 130,000    "," 740,000    "," 550,000    "," 800,000    "," 600,000    "," 1,320,000    "," 2,200,000    "," 1,600,000    "," 350,000    "," 350,000    "," 4,650,000    "," 4,200,000    "," 3,700,000    "," 5,600,000    "," 5,600,000    "," 3,660,000    "," 2,400,000    "," 2,400,000    "," 2,400,000    "," 1,000,000    "," 530,000    "," 500,000    "," 2,550,000    "," 2,200,000    "," 1,500,000    "," 100,000    "," 100,000    "," 100,000    "," 2,200,000    "," 2,200,000    "," 2,200,000    "," 2,200,000    "," 2,200,000    "," 2,200,000    "," 2,200,000    "," 2,200,000    "," 2,200,000    "," 500,000    "," 500,000    "," 500,000    "," 500,000    "," 500,000    "," 500,000    "," 500,000    "
cash,Revolut  EUR and HUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 312,000    "," 312,000    "," 312,000    "," 312,000    "," 296,424    "," 140,600    "," 140,600    "," 204,624    "," 204,624    "," 204,624    "," 204,624    "," 252,950    "," 252,950    "," 254,025    "," 219,189    "," 139,189    "," 188,858    "," 188,858    "," 193,000    "," 209,000    "," 190,612    "," 186,000    "," 173,000    "," 220,000    "," 225,000    "," 292,000    "," 292,000    "," 353,977    "," 353,977    "," 213,450    "," 217,000    "," 433,827    "," 350,642    "," 350,642    "," 229,000    "," 285,540    "," 285,541    "," 285,542    "," 317,800    "," 455,778    "," 331,058    "," 371,915    "," 282,371    "," 118,834    "," 138,000    "," 215,000    "," 215,000    "," 105,000    "," 105,000    "," 105,000    "," 105,000    "," 105,000    "," 105,000    "," 105,000    "," 105,000    "," 105,000    "," 677,000    "," 677,000    "," 677,000    "," 677,000    "," 355,000    "," 355,000    "," 355,000    "
cash,HSBC account (Gyîrgyi f?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 51,895    "," 2,520,000    "," 2,460,000    "," 2,945,481    "," 2,945,481    "," 2,945,481    "," 2,743,020    "," 2,743,020    "," 2,743,020    "," 2,743,020    "," 2,743,020    "," 2,743,020    "," 2,743,020    "," 2,743,020    "," 2,743,020    "," 2,743,020    "," 2,743,020    "," 2,743,020    "," 2,743,020    "," 2,743,020    "," 2,743,020    "," 2,743,020    "
cash,HSBC account (Kîzîs) GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 2,520,000    "," 2,460,000    "," 65,349    "," 71,709    "," 71,709    "," 66,780    "," 66,780    "," 66,780    "," 66,780    "," 66,780    "," 66,780    "," 66,780    "," 66,780    "," 66,780    "," 66,780    "," 66,780    "," 66,780    "," 66,780    "," 4,830,000    "," 4,830,000    "," 4,830,000    "
cash,HSBC account (Robi EUR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 12,986,100    "," 12,587,000    "," 12,402,800    "," 17,480,000    "," 17,480,000    "," 16,343,800    "," 16,343,800    "," 16,343,800    "," 16,343,800    "," 16,343,800    "," 16,343,800    "," 16,343,800    "," 16,343,800    "," 16,343,800    "," 16,343,800    "," 16,343,800    "," 16,343,800    "," 16,343,800    "," 16,007,200    "," 16,007,200    "," 16,007,200    "
cash,HSBC account (Robi CHF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 37,888,400    "," 35,802,800    "," 35,715,900    "," 35,107,600    "," 35,107,600    "," 32,500,600    "," 32,500,600    "," 32,500,600    "," 32,500,600    "," 32,500,600    "," 32,500,600    "," 32,500,600    "," 32,500,600    "," 32,500,600    "," 32,500,600    "," 32,500,600    "," 32,500,600    "," 32,500,600    "," 32,276,200    "," 32,276,200    "," 32,276,200    "
